ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,hand_base_x,hand_base_y,hand_base_z,target_cmd_x,target_cmd_y,target_cmd_z,hand_vel_x,hand_vel_y,hand_vel_z,hand_speed,ee_vel_x,ee_vel_y,ee_vel_z,ee_speed,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,rula_upper_arm,rula_lower_arm,rula_wrist,rula_twist,rula_total,rula_alpha_s,rula_alpha_c,rula_beta_s,rula_beta_t,rula_gamma_s,adapt_w,adapt_sr,adapt_se
1786588074430170916,2026-08-13T09:27:54.430197,ergonomics,0.045871,0.009000,0.000240,True,0.209936,0.739900,0.159355,0.164066,0.730900,0.159115,4.69,20,-0.161993,0.280052,0.378523,-0.162041,0.283255,0.378305,-0.175583,0.882482,0.559912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.116760,0.031125,-0.006240,0.013920,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.3100,18.1765,44.9823,-16.3181,16.8555,0.723415,0.775820,0.711708
1786588074463408497,2026-08-13T09:27:54.463425,ergonomics,0.044736,0.044000,0.001172,True,0.201936,0.731900,0.151355,0.157200,0.687900,0.150183,3.82,20,-0.161993,0.280052,0.378523,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.116760,0.031125,-0.006240,0.013920,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.2317,18.1705,45.0723,-16.1866,16.8569,0.723415,0.775820,0.711708
1786588074508132624,2026-08-13T09:27:54.508152,ergonomics,0.045028,0.035000,0.000932,True,0.193936,0.723900,0.143355,0.148909,0.688900,0.142422,5.82,20,-0.160551,0.328066,0.392402,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,0.000451,0.015004,0.004337,0.015624,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.116760,0.031125,-0.006240,0.013920,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.3025,18.2244,45.1596,-16.1146,16.8405,0.719296,0.805929,0.757515
1786588074539006756,2026-08-13T09:27:54.539019,ergonomics,0.045579,0.018000,0.000479,True,0.185936,0.715900,0.135355,0.140357,0.697900,0.134875,5.36,20,-0.161086,0.311981,0.387342,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.008087,-0.243276,-0.076529,0.255158,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.116760,0.031125,-0.006240,0.013920,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.3341,18.2670,45.2562,-16.2193,16.6600,0.717885,0.832439,0.758423
1786588074569891309,2026-08-13T09:27:54.569912,ergonomics,0.044736,0.044000,0.001172,True,0.177936,0.707900,0.127355,0.133200,0.663900,0.126183,4.59,20,-0.161086,0.311981,0.387342,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.008087,-0.243276,-0.076529,0.255158,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.116760,0.031125,-0.006240,0.013920,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.2661,18.1714,45.3997,-16.6835,16.6484,0.717885,0.832439,0.758423
1786588074602426190,2026-08-13T09:27:54.602442,ergonomics,0.045287,0.027000,0.000719,True,0.169936,0.699900,0.119355,0.124649,0.672900,0.118636,4.58,20,-0.161429,0.301661,0.384095,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.005091,-0.153162,-0.048181,0.160643,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.116760,0.031125,-0.006240,0.013920,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.1266,18.0880,45.8851,-16.7121,16.8968,0.718552,0.855656,0.757910
1786588074635592945,2026-08-13T09:27:54.635613,ergonomics,0.045579,0.018000,0.004304,True,0.161936,0.691900,0.111355,0.116357,0.673900,0.107051,4.40,20,-0.161429,0.301661,0.384095,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.005091,-0.153162,-0.048181,0.160643,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.116760,0.031125,-0.006240,0.013920,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.1965,18.1506,46.2233,-16.7953,17.0441,0.718552,0.855656,0.757910
1786588074662692220,2026-08-13T09:27:54.662712,ergonomics,0.045028,0.035000,0.004729,True,0.153936,0.683900,0.103355,0.108909,0.648900,0.098626,4.11,20,-0.161429,0.301661,0.384095,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.005091,-0.153162,-0.048181,0.160643,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007000,-0.116760,0.031125,-0.006240,0.013920,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.2288,18.1802,46.3804,-17.0274,17.1218,0.718552,0.855656,0.757910
1786588074693459313,2026-08-13T09:27:54.693478,ergonomics,0.044736,0.044000,0.004954,True,0.145936,0.675900,0.095355,0.101200,0.631900,0.090401,4.23,20,-0.161650,0.295027,0.382008,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.003314,-0.099704,-0.031364,0.104573,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.006440,-0.116760,0.031125,-0.006080,0.013760,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.0269,17.9603,46.6776,-16.6496,16.9271,0.720831,0.875900,0.757316
1786588074725669149,2026-08-13T09:27:54.725686,ergonomics,0.044477,0.052000,0.008922,True,0.137936,0.667900,0.087476,0.093460,0.615900,0.078554,3.88,20,-0.161650,0.295027,0.382008,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.003314,-0.099704,-0.031364,0.104573,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.006440,-0.116760,0.031125,-0.006080,0.013760,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,9.9665,17.9479,46.6830,-16.2546,16.5635,0.720831,0.875900,0.757316
1786588074767493910,2026-08-13T09:27:54.767512,ergonomics,0.040962,0.044000,0.008735,True,0.129936,0.659900,0.079682,0.088975,0.615900,0.070947,3.82,20,-0.161792,0.290761,0.380666,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.002132,-0.064138,-0.020176,0.067270,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.006440,-0.116760,0.031125,-0.006080,0.013760,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.3912,18.3013,46.6614,-16.3231,17.1198,0.724749,0.893483,0.763649
1786588074797761729,2026-08-13T09:27:54.797778,ergonomics,0.040716,0.052000,0.008922,True,0.121936,0.651900,0.072008,0.081221,0.599900,0.063086,3.87,20,-0.161792,0.290761,0.380666,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.002132,-0.064138,-0.020176,0.067270,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.006440,-0.116760,0.031125,-0.006080,0.013760,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,10.9033,18.7225,46.7865,-15.8466,17.0915,0.724749,0.893483,0.763649
1786588074828763530,2026-08-13T09:27:54.828782,ergonomics,0.041239,0.035000,0.008525,True,0.113936,0.643900,0.065953,0.072698,0.608900,0.057428,4.12,20,-0.161883,0.288023,0.379805,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.001371,-0.041234,-0.012971,0.043248,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.006440,-0.116760,0.031125,-0.006080,0.013760,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,11.0649,18.8410,46.5928,-15.8239,17.2786,0.729529,0.908706,0.762964
1786588074858392293,2026-08-13T09:27:54.858410,ergonomics,0.040439,0.061000,0.012885,True,0.105936,0.635900,0.062980,0.065498,0.574900,0.050095,3.88,20,-0.161883,0.288023,0.379805,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.001371,-0.041234,-0.012971,0.043248,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.006440,-0.116760,0.031125,-0.006080,0.013760,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,11.1139,18.8726,46.8963,-15.9607,17.4320,0.729529,0.908706,0.762964
1786588074896087291,2026-08-13T09:27:54.896106,ergonomics,0.040716,0.052000,0.016458,True,0.097936,0.627900,0.062626,0.057221,0.575900,0.046167,4.05,20,-0.161941,0.286271,0.379254,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.000866,-0.026057,-0.008197,0.027329,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.006440,-0.116760,0.031125,-0.006080,0.013760,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,11.1272,18.8703,47.0019,-16.3815,17.3745,0.734861,0.921849,0.761548
1786588074926452102,2026-08-13T09:27:54.926463,ergonomics,0.039947,0.077000,0.016959,True,0.089936,0.619900,0.060094,0.049990,0.542900,0.043135,3.83,20,-0.161941,0.286271,0.379254,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.000866,-0.026057,-0.008197,0.027329,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.006440,-0.116760,0.031125,-0.006080,0.013760,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,11.3885,19.0839,46.0319,-16.5546,16.8263,0.734861,0.921849,0.761548
1786588074960387638,2026-08-13T09:27:54.960406,ergonomics,0.040716,0.052000,0.020227,True,0.081936,0.611900,0.060035,0.041221,0.559900,0.039808,3.85,20,-0.161978,0.285154,0.378903,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.016858,-0.005303,0.017681,1.570768,0.124230,-1.049414,0.000022,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006160,-0.117740,0.032038,-0.007296,0.014208,-0.017536,1.0000,2.0000,2.0000,0.0000,2.0000,11.4006,18.9778,45.8475,-17.1576,17.2429,0.740383,0.933170,0.757728
1786588074995466427,2026-08-13T09:27:54.995485,ergonomics,0.040962,0.044000,0.020080,True,0.073936,0.603900,0.059765,0.032975,0.559900,0.039685,3.95,20,-0.161978,0.285154,0.378903,-0.162041,0.283255,0.378305,-0.162041,0.283255,0.378305,0.000000,0.000000,0.000000,0.000000,-0.000560,-0.016858,-0.005303,0.017681,1.570095,0.127706,-1.036477,0.001013,-0.410358,-1.427118,0.009598,0.052354,0.200711,0.018756,0.199396,0.261356,-0.082460,0.053620,0.297970,0.008800,-0.067520,0.059776,1.0000,2.0000,2.0000,0.0000,2.0000,11.4811,18.9678,45.9873,-17.4417,16.8137,0.740383,0.933170,0.757728
