ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,hand_base_x,hand_base_y,hand_base_z,target_cmd_x,target_cmd_y,target_cmd_z,hand_vel_x,hand_vel_y,hand_vel_z,hand_speed,ee_vel_x,ee_vel_y,ee_vel_z,ee_speed,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,rula_upper_arm,rula_lower_arm,rula_wrist,rula_twist,rula_total,rula_alpha_s,rula_alpha_c,rula_beta_s,rula_beta_t,rula_gamma_s,adapt_w,adapt_sr,adapt_se
1786522135034476726,2026-08-12T15:08:55.034492,prediction,0.116206,0.069000,0.103920,True,0.184083,0.679900,0.172807,0.067877,0.610900,0.068887,4.44,20,-0.161994,0.280054,0.378524,-0.161994,0.280051,0.378526,-0.025852,0.835403,0.480670,0.145712,-1.248294,-1.675305,2.094306,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006440,-0.153440,0.057270,-0.026624,0.022336,-0.007360,1.0000,2.0000,1.0000,0.0000,2.0000,11.9727,15.0941,57.8359,-8.9682,11.0374,0.724787,0.912650,0.691099
1786522135069084823,2026-08-12T15:08:55.069106,prediction,0.115794,0.078000,0.107623,True,0.176083,0.671900,0.169550,0.060290,0.593900,0.061927,4.20,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000001,0.000000,0.000001,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006440,-0.153440,0.057270,-0.026624,0.022336,-0.007360,1.0000,2.0000,1.0000,0.0000,2.0000,12.5336,15.7171,57.6224,-9.9749,11.8406,0.724787,0.912650,0.691099
1786522135106817699,2026-08-12T15:08:55.106832,prediction,0.113972,0.035000,0.111612,True,0.168083,0.663900,0.166808,0.054111,0.628900,0.055196,4.66,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000001,0.000000,0.000001,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006440,-0.153440,0.057270,-0.026624,0.022336,-0.007360,1.0000,2.0000,1.0000,0.0000,2.0000,14.6458,17.5506,57.8985,-10.9452,11.8985,0.724787,0.912650,0.691099
1786522135136029077,2026-08-12T15:08:55.136047,prediction,0.114724,0.018000,0.115541,True,0.160083,0.655900,0.164420,0.045360,0.637900,0.048878,4.94,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006440,-0.153440,0.057270,-0.026624,0.022336,-0.007360,1.0000,2.0000,1.0000,0.0000,2.0000,14.6757,17.4430,57.8607,-9.3841,11.3183,0.724787,0.912650,0.691099
1786522135169531938,2026-08-12T15:08:55.169552,prediction,0.116713,-0.027000,0.115889,True,0.152083,0.647900,0.162630,0.035370,0.674900,0.046741,4.89,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005460,-0.153440,0.057270,-0.026624,0.021984,-0.006464,1.0000,2.0000,1.0000,0.0000,2.0000,15.7468,18.3816,58.5475,-10.5527,11.1570,0.724787,0.912650,0.691099
1786522135205155126,2026-08-12T15:08:55.205170,prediction,0.112071,0.078000,0.118806,True,0.144083,0.639900,0.163303,0.032012,0.561900,0.044497,4.23,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004900,-0.153020,0.056938,-0.026624,0.022208,-0.006752,1.0000,2.0000,1.0000,0.0000,2.0000,15.9447,18.4885,58.1930,-9.3816,11.4288,0.724787,0.912650,0.691099
1786522135237659569,2026-08-12T15:08:55.237675,prediction,0.115519,-0.000000,0.123392,True,0.136083,0.631900,0.164211,0.020564,0.631900,0.040819,4.11,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004900,-0.153020,0.056938,-0.026624,0.022208,-0.006752,1.0000,2.0000,1.0000,0.0000,2.0000,15.6692,18.3346,58.8348,-8.6018,11.1866,0.724787,0.912650,0.691099
1786522135271050575,2026-08-12T15:08:55.271069,prediction,0.115122,0.009000,0.123293,True,0.128083,0.623900,0.162626,0.012962,0.614900,0.039333,4.43,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004900,-0.153020,0.056938,-0.026624,0.022208,-0.006752,1.0000,2.0000,1.0000,0.0000,2.0000,16.1218,18.6378,58.8313,-8.4185,11.5921,0.724787,0.912650,0.691099
1786522135307321809,2026-08-12T15:08:55.307335,prediction,0.115917,-0.009000,0.127362,True,0.120083,0.615900,0.165833,0.004166,0.624900,0.038471,4.58,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004900,-0.153020,0.056938,-0.026624,0.022208,-0.006752,1.0000,2.0000,1.0000,0.0000,2.0000,16.0665,18.4911,58.9732,-7.5753,11.6891,0.724787,0.912650,0.691099
1786522135341928579,2026-08-12T15:08:55.341950,prediction,0.109455,0.052000,0.126591,True,0.112083,0.607900,0.169019,0.002628,0.555900,0.042428,4.48,20,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,-0.161994,0.280051,0.378526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124230,-1.049406,0.000000,-0.397833,-1.443546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004900,-0.153020,0.056938,-0.026624,0.022208,-0.006752,1.0000,2.0000,1.0000,0.0000,2.0000,16.5597,18.9817,58.7334,-8.3953,11.5899,0.724787,0.912650,0.691099
