ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,hand_base_x,hand_base_y,hand_base_z,target_cmd_x,target_cmd_y,target_cmd_z,hand_vel_x,hand_vel_y,hand_vel_z,hand_speed,ee_vel_x,ee_vel_y,ee_vel_z,ee_speed,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,rula_upper_arm,rula_lower_arm,rula_wrist,rula_twist,rula_total,rula_alpha_s,rula_alpha_c,rula_beta_s,rula_beta_t,rula_gamma_s,adapt_w,adapt_sr,adapt_se
1786592095062104148,2026-08-13T10:34:55.062128,ergonomics,0.225081,-0.008000,0.110492,True,0.222941,-0.041000,0.096274,0.002140,0.033000,0.014218,4.38,20,-0.161990,0.308952,0.388243,-0.161991,0.308956,0.388249,0.082724,1.135367,0.315858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.163240,0.053037,-0.008128,0.020320,-0.006144,1.0000,2.0000,1.0000,0.0000,2.0000,8.2623,11.6975,54.6659,-4.4086,12.3209,0.687209,0.885704,0.759710
1786592095104568611,2026-08-13T10:34:55.104584,ergonomics,0.228079,-0.000000,0.114259,True,0.223494,-0.033000,0.102554,0.004585,0.033000,0.011704,3.96,20,-0.147903,0.356749,0.384115,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.003986,0.013524,-0.001168,0.014147,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.163240,0.053037,-0.008128,0.020320,-0.006144,1.0000,2.0000,1.0000,0.0000,2.0000,8.2702,11.7186,55.5316,-4.3900,11.8381,0.700081,0.901977,0.846117
1786592095141618732,2026-08-13T10:34:55.141671,ergonomics,0.228773,-0.008000,0.117890,True,0.224579,-0.025000,0.107181,0.004194,0.017000,0.010709,3.88,20,-0.147903,0.356749,0.384115,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.003986,0.013524,-0.001168,0.014147,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.163240,0.053037,-0.008128,0.020320,-0.006144,1.0000,2.0000,1.0000,0.0000,2.0000,8.3412,11.7618,56.3110,-4.3339,11.2723,0.700081,0.901977,0.846117
1786592095170953743,2026-08-13T10:34:55.170973,ergonomics,0.227384,0.008000,0.117999,True,0.218519,-0.017000,0.108991,0.008865,0.025000,0.009009,4.36,20,-0.152927,0.339703,0.385589,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.075595,-0.256455,0.022184,0.268284,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000840,-0.163240,0.053037,-0.008128,0.020320,-0.006144,1.0000,2.0000,1.0000,0.0000,2.0000,8.4308,11.9350,56.1412,-4.7522,10.9221,0.713317,0.916044,0.852573
1786592095198637220,2026-08-13T10:34:55.198652,ergonomics,0.227384,0.008000,0.117999,True,0.218461,-0.009000,0.111917,0.008923,0.017000,0.006082,4.12,20,-0.152927,0.339703,0.385589,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.075595,-0.256455,0.022184,0.268284,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.164500,0.057104,-0.009024,0.020768,-0.006304,1.0000,2.0000,1.0000,0.0000,2.0000,8.2293,11.8183,55.9996,-4.5571,11.0864,0.713317,0.916044,0.852573
1786592095232110556,2026-08-13T10:34:55.232126,ergonomics,0.228079,-0.000000,0.121630,True,0.221886,-0.001000,0.117114,0.006193,0.001000,0.004516,3.94,20,-0.156219,0.328538,0.386555,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.049956,-0.169477,0.014660,0.177293,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.164500,0.055776,-0.008704,0.020160,-0.004640,1.0000,2.0000,1.0000,0.0000,2.0000,8.3294,11.9328,56.2037,-4.1707,11.1465,0.726268,0.928173,0.851482
1786592095265009175,2026-08-13T10:34:55.265026,ergonomics,0.223037,0.016000,0.121713,True,0.213886,0.007000,0.117949,0.009151,0.009000,0.003764,3.77,20,-0.156219,0.328538,0.386555,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.049956,-0.169477,0.014660,0.177293,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.164500,0.055776,-0.008704,0.020160,-0.004640,1.0000,2.0000,1.0000,0.0000,2.0000,8.4398,12.0511,56.0415,-4.6778,11.3964,0.726268,0.928173,0.851482
1786592095297896418,2026-08-13T10:34:55.297913,ergonomics,0.226689,0.016000,0.125372,True,0.218366,0.015000,0.123888,0.008323,0.001000,0.001484,3.74,20,-0.158351,0.321305,0.387181,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.030951,-0.105003,0.009083,0.109846,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.164500,0.055776,-0.008704,0.020160,-0.004640,1.0000,2.0000,1.0000,0.0000,2.0000,7.9245,11.3065,55.7371,-5.3415,11.1321,0.738752,0.938608,0.849519
1786592095330904603,2026-08-13T10:34:55.330923,ergonomics,0.220993,0.040000,0.125456,True,0.210366,0.023000,0.126589,0.010627,0.017000,0.001133,3.79,20,-0.158351,0.321305,0.387181,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.030951,-0.105003,0.009083,0.109846,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.164500,0.055776,-0.008704,0.020160,-0.004640,1.0000,2.0000,1.0000,0.0000,2.0000,8.1564,11.5000,55.6495,-5.7007,10.9051,0.738752,0.938608,0.849519
1786592095363173608,2026-08-13T10:34:55.363188,ergonomics,0.222355,0.024000,0.129046,True,0.207341,0.031000,0.129982,0.015014,0.007000,0.000935,3.95,20,-0.159717,0.316670,0.387582,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.021080,-0.071513,0.006186,0.074811,1.570768,0.124243,-1.002825,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001540,-0.164500,0.055776,-0.008704,0.020160,-0.004640,1.0000,2.0000,1.0000,0.0000,2.0000,8.2023,11.7693,55.6355,-6.3213,10.9389,0.750645,0.947571,0.846943
