ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,hand_base_x,hand_base_y,hand_base_z,target_cmd_x,target_cmd_y,target_cmd_z,hand_vel_x,hand_vel_y,hand_vel_z,hand_speed,ee_vel_x,ee_vel_y,ee_vel_z,ee_speed,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,rula_upper_arm,rula_lower_arm,rula_wrist,rula_twist,rula_total,rula_alpha_s,rula_alpha_c,rula_beta_s,rula_beta_t,rula_gamma_s,adapt_w,adapt_sr,adapt_se
1786590917846544135,2026-08-13T10:15:17.846569,ground_truth,0.183551,-0.008000,0.074685,True,,,,,,,,,-0.161990,0.308951,0.388245,-0.161991,0.308956,0.388247,0.110078,1.102273,0.287923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001540,-0.165200,0.082253,-0.019712,0.021888,-0.009472,1.0000,2.0000,1.0000,0.0000,2.0000,8.3282,11.4190,53.6021,-6.4649,11.9630,,,
1786590917883357016,2026-08-13T10:15:17.883385,ground_truth,0.179804,-0.008000,0.078439,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000000,0.000001,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001540,-0.165200,0.082253,-0.019712,0.021888,-0.009472,1.0000,2.0000,1.0000,0.0000,2.0000,8.4262,11.4268,53.7978,-6.3400,12.0044,,,
1786590917912041912,2026-08-13T10:15:17.912061,ground_truth,0.179700,0.041000,0.079096,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000000,0.000001,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001540,-0.165200,0.082253,-0.019712,0.021888,-0.009472,1.0000,2.0000,1.0000,0.0000,2.0000,8.4262,11.4268,53.7978,-6.3400,12.0044,,,
1786590917941559570,2026-08-13T10:15:17.941579,ground_truth,0.175419,0.049000,0.082863,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001540,-0.165200,0.082253,-0.019712,0.021888,-0.009472,1.0000,2.0000,1.0000,0.0000,2.0000,8.2240,11.7701,54.1710,-6.7113,12.0248,,,
1786590917971599326,2026-08-13T10:15:17.971617,ground_truth,0.178573,0.008000,0.082380,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001540,-0.165200,0.082253,-0.019712,0.021888,-0.009472,1.0000,2.0000,1.0000,0.0000,2.0000,8.3149,11.6273,55.1371,-6.3243,12.1691,,,
1786590918001731251,2026-08-13T10:15:18.001747,ground_truth,0.176034,0.041000,0.086441,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001540,-0.165480,0.081921,-0.019712,0.021664,-0.009248,1.0000,2.0000,1.0000,0.0000,2.0000,8.4060,11.5394,54.5339,-7.4437,12.5995,,,
1786590918038856340,2026-08-13T10:15:18.038876,ground_truth,0.176034,0.041000,0.090114,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001540,-0.165480,0.081921,-0.019712,0.021600,-0.009088,1.0000,2.0000,1.0000,0.0000,2.0000,8.3373,11.5631,55.5035,-6.9145,12.4030,,,
1786590918080101625,2026-08-13T10:15:18.080128,ground_truth,0.176650,0.033000,0.090046,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002380,-0.164920,0.081921,-0.019712,0.021664,-0.010240,1.0000,2.0000,1.0000,0.0000,2.0000,8.5081,11.2387,56.4786,-6.0509,12.2185,,,
1786590918107940654,2026-08-13T10:15:18.107975,ground_truth,0.176034,0.041000,0.093786,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002380,-0.164920,0.081921,-0.019712,0.021664,-0.010240,1.0000,2.0000,1.0000,0.0000,2.0000,8.7820,10.8925,56.5870,-5.8648,11.7790,,,
1786590918134914346,2026-08-13T10:15:18.134929,ground_truth,0.175419,0.049000,0.093841,True,,,,,,,,,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,-0.161991,0.308956,0.388247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002380,-0.164920,0.081921,-0.019712,0.021664,-0.010240,1.0000,2.0000,1.0000,0.0000,2.0000,9.2496,10.5820,55.7206,-6.0802,11.5336,,,
