ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,hand_base_x,hand_base_y,hand_base_z,target_cmd_x,target_cmd_y,target_cmd_z,hand_vel_x,hand_vel_y,hand_vel_z,hand_speed,ee_vel_x,ee_vel_y,ee_vel_z,ee_speed,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,rula_upper_arm,rula_lower_arm,rula_wrist,rula_twist,rula_total,rula_alpha_s,rula_alpha_c,rula_beta_s,rula_beta_t,rula_gamma_s,adapt_w,adapt_sr,adapt_se
1786591426559971711,2026-08-13T10:23:46.559992,prediction,0.210469,-0.058000,0.102423,True,0.206950,-0.059000,0.096635,0.003518,0.001000,0.005788,4.12,20,-0.161990,0.308952,0.388243,-0.161991,0.308956,0.388249,0.142288,1.173893,0.328344,-0.697705,-1.670329,-0.036408,1.810557,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002100,-0.158900,0.079099,-0.007584,0.019264,-0.009856,1.0000,2.0000,1.0000,0.0000,2.0000,5.3453,8.8855,51.7995,-8.5763,12.3621,,,
1786591426600264900,2026-08-13T10:23:46.600281,prediction,0.207930,-0.025000,0.102866,True,0.198950,-0.051000,0.104008,0.008980,0.026000,0.001142,3.94,20,-0.161990,0.308952,0.388243,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002100,-0.159600,0.080344,-0.007904,0.019488,-0.010976,1.0000,2.0000,1.0000,0.0000,2.0000,5.3830,8.7899,52.4479,-8.2019,12.3351,,,
1786591426627192797,2026-08-13T10:23:46.627206,prediction,0.207930,-0.025000,0.102866,True,0.193421,-0.043000,0.108794,0.014508,0.018000,0.005928,4.11,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,0.000001,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002100,-0.159600,0.080344,-0.007904,0.019488,-0.010976,1.0000,2.0000,1.0000,0.0000,2.0000,5.2945,8.6458,52.6430,-8.7984,12.3089,,,
1786591426662107336,2026-08-13T10:23:46.662132,prediction,0.209161,-0.041000,0.106405,True,0.192774,-0.035000,0.112988,0.016387,0.006000,0.006583,3.62,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,0.000001,0.000001,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002100,-0.159600,0.080344,-0.007904,0.019488,-0.010976,1.0000,2.0000,1.0000,0.0000,2.0000,5.3599,8.7434,53.1956,-8.9936,12.5862,,,
1786591426703025209,2026-08-13T10:23:46.703046,prediction,0.212278,-0.033000,0.106499,True,0.184774,-0.027000,0.115002,0.027505,0.006000,0.008503,3.82,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002100,-0.159600,0.080344,-0.007904,0.019488,-0.010976,1.0000,2.0000,1.0000,0.0000,2.0000,5.5239,9.0389,53.4448,-9.8432,12.8171,,,
1786591426735494098,2026-08-13T10:23:46.735507,prediction,0.212278,-0.033000,0.106499,True,0.182324,-0.019000,0.116924,0.029955,0.014000,0.010425,4.31,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002100,-0.159600,0.080344,-0.007904,0.019488,-0.010976,1.0000,2.0000,1.0000,0.0000,2.0000,5.6051,9.2297,53.4926,-9.9641,12.9345,,,
1786591426763839095,2026-08-13T10:23:46.763855,prediction,0.210314,-0.008000,0.106793,True,0.180907,-0.011000,0.119061,0.029406,0.003000,0.012268,3.96,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002100,-0.160580,0.080344,-0.008800,0.019776,-0.011584,1.0000,2.0000,1.0000,0.0000,2.0000,5.9164,9.5725,53.2970,-9.9945,12.9403,,,
1786591426794532140,2026-08-13T10:23:46.794550,prediction,0.210314,-0.008000,0.110492,True,0.185153,-0.003000,0.122656,0.025161,0.005000,0.012164,4.43,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002100,-0.160580,0.080344,-0.008960,0.019264,-0.010144,1.0000,2.0000,1.0000,0.0000,2.0000,6.2339,9.9147,53.1287,-9.7054,12.5202,,,
1786591426831085899,2026-08-13T10:23:46.831106,prediction,0.209056,0.008000,0.110654,True,0.179071,0.005000,0.123264,0.029985,0.003000,0.012610,6.78,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001120,-0.160580,0.080344,-0.009088,0.019200,-0.010912,1.0000,2.0000,1.0000,0.0000,2.0000,6.4922,10.0952,53.0850,-9.9686,12.3308,,,
1786591426866604624,2026-08-13T10:23:46.866625,prediction,0.214006,-0.008000,0.114191,True,0.183047,0.013000,0.125120,0.030959,0.021000,0.010929,7.48,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.001307,0.000000,0.000000,0.000000,0.000000,-0.001120,-0.160580,0.080344,-0.009248,0.019424,-0.010912,1.0000,2.0000,1.0000,0.0000,2.0000,6.7838,10.3655,52.8160,-9.5082,12.4476,,,
