ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,hand_base_x,hand_base_y,hand_base_z,target_cmd_x,target_cmd_y,target_cmd_z,hand_vel_x,hand_vel_y,hand_vel_z,hand_speed,ee_vel_x,ee_vel_y,ee_vel_z,ee_speed,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,rula_upper_arm,rula_lower_arm,rula_wrist,rula_twist,rula_total,rula_alpha_s,rula_alpha_c,rula_beta_s,rula_beta_t,rula_gamma_s,adapt_w,adapt_sr,adapt_se
1786593459521517572,2026-08-13T10:57:39.521533,ergonomics,0.215732,0.016000,0.088779,True,0.171364,0.096000,0.128312,0.044368,0.080000,0.039533,4.99,20,-0.161990,0.308951,0.388245,-0.161991,0.308956,0.388249,0.016539,0.988105,0.397533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.162120,0.057436,-0.008416,0.024832,-0.010688,1.0000,2.0000,1.0000,0.0000,2.0000,8.5440,9.7861,43.8769,1.2681,12.2620,0.723749,0.825622,0.789929
1786593459556082946,2026-08-13T10:57:39.556113,ergonomics,0.215732,0.016000,0.092438,True,0.173839,0.096000,0.129099,0.041893,0.080000,0.036661,4.64,20,-0.161990,0.308951,0.388245,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.058515,-0.008416,0.024992,-0.010816,1.0000,2.0000,1.0000,0.0000,2.0000,8.7041,9.9794,44.1227,1.0857,11.7990,0.723749,0.825622,0.789929
1786593459590173689,2026-08-13T10:57:39.590191,ergonomics,0.214422,0.032000,0.099998,True,0.169050,0.099200,0.134915,0.045372,0.067200,0.034917,4.76,20,-0.149400,0.357337,0.387680,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.003434,0.013198,-0.000154,0.013638,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.058515,-0.008416,0.024992,-0.010816,1.0000,2.0000,1.0000,0.0000,2.0000,8.5164,9.8040,46.0790,1.3928,11.8755,0.727214,0.849697,0.827402
1786593459620335992,2026-08-13T10:57:39.620355,ergonomics,0.213767,0.040000,0.103738,True,0.171303,0.103360,0.139152,0.042464,0.063360,0.035414,4.11,20,-0.149400,0.357337,0.387680,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.003434,0.013198,-0.000154,0.013638,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.058515,-0.008416,0.024992,-0.010816,1.0000,2.0000,1.0000,0.0000,2.0000,8.4006,9.6736,46.7333,1.1488,11.8196,0.727214,0.849697,0.827402
1786593459653423548,2026-08-13T10:57:39.653442,ergonomics,0.212539,0.055000,0.111129,True,0.173934,0.109688,0.146079,0.038605,0.054688,0.034950,4.28,20,-0.154012,0.339613,0.387888,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.068658,-0.263815,0.003105,0.272621,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.058515,-0.008416,0.024992,-0.010816,1.0000,2.0000,1.0000,0.0000,2.0000,8.4691,9.5984,47.3649,1.0362,11.6172,0.732697,0.870712,0.836116
1786593459686857123,2026-08-13T10:57:39.686879,ergonomics,0.209513,0.048000,0.111059,True,0.177567,0.113350,0.146701,0.031946,0.065350,0.035643,4.01,20,-0.154012,0.339613,0.387888,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.068658,-0.263815,0.003105,0.272621,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.058515,-0.008416,0.024992,-0.010816,1.0000,2.0000,1.0000,0.0000,2.0000,8.5571,9.6224,48.0319,0.5868,12.3650,0.732697,0.870712,0.836116
1786593459717589368,2026-08-13T10:57:39.717608,ergonomics,0.209513,0.048000,0.111059,True,0.175442,0.116280,0.146348,0.034071,0.068280,0.035289,4.74,20,-0.156962,0.328279,0.388022,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.044186,-0.169783,0.001998,0.175450,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.058515,-0.008416,0.024992,-0.010816,1.0000,2.0000,1.0000,0.0000,2.0000,9.0723,10.1592,47.6664,-1.6268,11.9385,0.739428,0.888983,0.838809
1786593459751566975,2026-08-13T10:57:39.751588,ergonomics,0.204734,0.063000,0.111210,True,0.170094,0.121624,0.146014,0.034641,0.058624,0.034804,4.29,20,-0.156962,0.328279,0.388022,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.044186,-0.169783,0.001998,0.175450,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.058515,-0.008416,0.024992,-0.010816,1.0000,2.0000,1.0000,0.0000,2.0000,9.1944,10.1163,47.4864,-2.1082,12.8078,0.739428,0.888983,0.838809
1786593459784051906,2026-08-13T10:57:39.784072,ergonomics,0.204106,0.071000,0.114860,True,0.174405,0.127499,0.148179,0.029700,0.056499,0.033319,4.25,20,-0.158839,0.321066,0.388106,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.028335,-0.108876,0.001281,0.112510,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.058515,-0.008416,0.024992,-0.010816,1.0000,2.0000,1.0000,0.0000,2.0000,9.8568,11.0515,46.2894,-3.4009,13.2278,0.746522,0.904814,0.832161
1786593459818680756,2026-08-13T10:57:39.818703,ergonomics,0.205363,0.055000,0.114724,True,0.180610,0.129000,0.145852,0.024753,0.074000,0.031128,5.82,20,-0.158839,0.321066,0.388106,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.028335,-0.108876,0.001281,0.112510,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.057436,-0.008416,0.024672,-0.009984,1.0000,2.0000,1.0000,0.0000,2.0000,11.0335,12.6386,45.4751,-4.0730,14.7348,0.746522,0.904814,0.832161
1786593459853114518,2026-08-13T10:57:39.853135,ergonomics,0.205363,0.055000,0.118319,True,0.174705,0.130200,0.148072,0.030657,0.075200,0.029753,4.32,20,-0.160026,0.316506,0.388160,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.017806,-0.068417,0.000805,0.070701,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.057436,-0.008416,0.024672,-0.009984,1.0000,2.0000,1.0000,0.0000,2.0000,11.6532,13.3483,45.6541,-3.3812,14.8705,0.753134,0.918492,0.815405
1786593459885542004,2026-08-13T10:57:39.885562,ergonomics,0.203555,0.078000,0.122033,True,0.173136,0.135760,0.150245,0.030420,0.057760,0.028212,4.01,20,-0.160026,0.316506,0.388160,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.017806,-0.068417,0.000805,0.070701,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.057436,-0.008416,0.024672,-0.009984,1.0000,2.0000,1.0000,0.0000,2.0000,11.6386,13.5040,46.0133,-2.4655,14.8213,0.753134,0.918492,0.815405
1786593459920103427,2026-08-13T10:57:39.920122,ergonomics,0.201748,0.101000,0.122151,True,0.176460,0.143760,0.147958,0.025288,0.042760,0.025807,4.27,20,-0.160773,0.313636,0.388194,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.011211,-0.043079,0.000507,0.044517,1.570768,0.124243,-1.002818,0.000032,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001120,-0.163660,0.057436,-0.008416,0.024672,-0.009984,1.0000,2.0000,1.0000,0.0000,2.0000,11.6501,13.4229,45.8931,-2.3997,14.9961,0.760359,0.930281,0.819227
