ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,hand_base_x,hand_base_y,hand_base_z,target_cmd_x,target_cmd_y,target_cmd_z,hand_vel_x,hand_vel_y,hand_vel_z,hand_speed,ee_vel_x,ee_vel_y,ee_vel_z,ee_speed,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,rula_upper_arm,rula_lower_arm,rula_wrist,rula_twist,rula_total,rula_alpha_s,rula_alpha_c,rula_beta_s,rula_beta_t,rula_gamma_s,adapt_w,adapt_sr,adapt_se
1786593770901007923,2026-08-13T11:02:50.901029,prediction,0.204137,0.115000,0.125719,True,0.180758,0.195000,0.147335,0.023379,0.080000,0.021615,4.48,20,-0.161988,0.308957,0.388244,-0.161991,0.308956,0.388249,0.003633,1.060823,0.327664,-0.289611,-1.298333,-0.481675,1.414763,0.000000,0.000008,0.000008,0.000011,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013020,-0.199920,0.104580,-0.021888,0.026112,-0.003360,1.0000,2.0000,2.0000,0.0000,2.0000,16.0519,16.4839,48.5956,-18.6234,18.0035,0.775615,0.924269,0.772861
1786593770935114163,2026-08-13T11:02:50.935139,prediction,0.202933,0.130000,0.129243,True,0.181993,0.198000,0.151088,0.020941,0.068000,0.021845,4.47,20,-0.161988,0.308957,0.388244,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000008,0.000011,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013020,-0.199920,0.104580,-0.021888,0.026112,-0.003360,1.0000,2.0000,2.0000,0.0000,2.0000,15.7996,16.7426,50.2978,-18.9350,16.8303,0.775615,0.924269,0.772861
1786593770971174433,2026-08-13T11:02:50.971195,prediction,0.202933,0.130000,0.132714,True,0.182900,0.200400,0.152879,0.020034,0.070400,0.020165,7.02,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000000,0.000002,0.000003,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013020,-0.199920,0.104580,-0.021888,0.026112,-0.003360,1.0000,2.0000,2.0000,0.0000,2.0000,14.0256,15.8517,53.1694,-15.8439,15.4553,0.775615,0.924269,0.772861
1786593771002705471,2026-08-13T11:02:51.002726,prediction,0.204137,0.115000,0.136207,True,0.184851,0.199320,0.155298,0.019286,0.084320,0.019092,6.53,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000000,0.000002,0.000003,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013020,-0.199920,0.104580,-0.021888,0.026112,-0.003360,1.0000,2.0000,2.0000,0.0000,2.0000,14.1304,16.5749,53.0935,-17.0069,16.1978,0.775615,0.924269,0.772861
1786593771034873406,2026-08-13T11:02:51.034890,prediction,0.198919,0.137000,0.136175,True,0.176851,0.202856,0.152812,0.022068,0.065856,0.016637,3.92,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011060,-0.199640,0.103916,-0.022048,0.025280,-0.003360,1.0000,2.0000,2.0000,0.0000,2.0000,14.2032,17.0627,52.3880,-18.2653,15.4080,0.775615,0.924269,0.772861
1786593771081432179,2026-08-13T11:02:51.081450,prediction,0.200648,0.115000,0.139702,True,0.173081,0.201285,0.153153,0.027567,0.086285,0.013450,4.65,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.013860,-0.197120,0.103916,-0.022048,0.025824,-0.003904,1.0000,2.0000,2.0000,0.0000,2.0000,14.4460,17.7682,52.2405,-19.4091,15.4299,0.775615,0.924269,0.772861
1786593771108183725,2026-08-13T11:02:51.108198,prediction,0.198369,0.144000,0.139612,True,0.165081,0.205828,0.152033,0.033288,0.061828,0.012420,3.83,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879127,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.007980,-0.196840,0.102671,-0.022048,0.025280,-0.002912,1.0000,2.0000,2.0000,0.0000,2.0000,16.0069,19.0860,51.2187,-20.4124,16.8468,0.775615,0.924269,0.772861
1786593771142137864,2026-08-13T11:02:51.142154,prediction,0.198919,0.137000,0.139634,True,0.160350,0.208062,0.153261,0.038569,0.071062,0.013626,4.38,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879117,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.015120,-0.196840,0.104580,-0.022048,0.025664,-0.004512,1.0000,2.0000,2.0000,0.0000,2.0000,16.1161,19.5203,51.5342,-19.1959,16.3190,0.775615,0.924269,0.772861
1786593771178503042,2026-08-13T11:02:51.178519,prediction,0.195466,0.137000,0.139634,True,0.152902,0.209850,0.154077,0.042564,0.072850,0.014443,4.37,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879117,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.015120,-0.196840,0.104580,-0.022048,0.025664,-0.004512,1.0000,2.0000,2.0000,0.0000,2.0000,16.0654,19.9769,50.1704,-17.8683,15.4415,0.775615,0.924269,0.772861
1786593771208092646,2026-08-13T11:02:51.208113,prediction,0.192013,0.137000,0.139634,True,0.147711,0.211280,0.154808,0.044303,0.074280,0.015174,4.56,20,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,-0.161991,0.308956,0.388249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.570755,0.124237,-1.002803,0.000022,-0.385652,-1.879117,0.000000,0.000000,0.000000,0.000000,0.000000,0.002609,-0.015120,-0.196840,0.104580,-0.022048,0.025664,-0.004512,2.0000,2.0000,1.0000,0.0000,3.0000,15.8678,20.1273,49.3583,-16.9475,14.6154,0.775615,0.924269,0.772861
