# participant_id: p01
# scenario_id: SCC5
# mode: Change
# initial_target: 3
# final_target: 1
# sample_rate_hz: 16.0
# trial_duration_s: 8.0
# y_threshold_trigger: 0.3
# recorded_at: 2026-06-12T16:49:49.093236
timestamp_s,x,y,z
0.0014,0.1107,0.0300,0.1278
0.0641,0.1107,0.0300,0.1278
0.1264,0.1107,0.0300,0.1313
0.1891,0.1085,0.0520,0.1345
0.2522,0.1091,0.0800,0.1376
0.3139,0.1154,0.0520,0.1415
0.3765,0.1154,0.0520,0.1415
0.4410,0.1171,0.1010,0.1441
0.5016,0.1213,0.0940,0.1442
0.5642,0.1175,0.1290,0.1469
0.6266,0.1127,0.1420,0.1467
0.6893,0.1068,0.1350,0.1468
0.7521,0.1040,0.1620,0.1463
0.8140,0.1040,0.1620,0.1496
0.8790,0.1021,0.1810,0.1524
0.9396,0.0994,0.1750,0.1526
1.0015,0.1048,0.1550,0.1563
1.0667,0.1034,0.1680,0.1593
1.1264,0.1001,0.2000,0.1617
1.1921,0.1001,0.2000,0.1649
1.2517,0.1007,0.2250,0.1642
1.3142,0.1001,0.2310,0.1672
1.3766,0.0995,0.2370,0.1670
1.4391,0.1026,0.2370,0.1702
1.5062,0.1039,0.2250,0.1706
1.5664,0.1039,0.2250,0.1706
1.6266,0.1026,0.2370,0.1702
1.6891,0.0994,0.2670,0.1692
1.7560,0.0994,0.2960,0.1713
1.8190,0.1025,0.2670,0.1754
1.8765,0.0952,0.3070,0.1740
1.9414,0.0903,0.3240,0.1734
2.0014,0.0903,0.3240,0.1734
2.0644,0.0887,0.3400,0.1788
2.1266,0.0829,0.3670,0.1807
2.1890,0.0807,0.3880,0.1828
2.2515,0.0829,0.3670,0.1867
2.3144,0.0768,0.3980,0.1853
2.3767,0.0778,0.3880,0.1857
2.4391,0.0799,0.3670,0.1867
2.5013,0.0729,0.4080,0.1877
2.5640,0.0729,0.4080,0.1877
2.6304,0.0724,0.4130,0.1875
2.6891,0.0719,0.4180,0.1873
2.7516,0.0761,0.4330,0.1866
2.8170,0.0774,0.4470,0.1888
2.8771,0.0817,0.4330,0.1894
2.9393,0.0823,0.4280,0.1897
3.0018,0.0878,0.4030,0.1938
3.0639,0.0805,0.4180,0.1930
3.1265,0.0774,0.4470,0.1973
3.1891,0.0779,0.4420,0.1975
3.2515,0.0808,0.4420,0.2003
3.3141,0.0802,0.4470,0.2029
3.3767,0.0812,0.4380,0.2034
3.4390,0.0788,0.4610,0.2021
3.5015,0.0745,0.4750,0.2014
3.5642,0.0734,0.4850,0.2008
3.6267,0.0721,0.4980,0.2001
3.6890,0.0711,0.5070,0.1996
3.7516,0.0725,0.4940,0.2030
3.8143,0.0743,0.5030,0.2053
3.8793,0.0739,0.5070,0.2050
3.9420,0.0701,0.5420,0.2056
4.0030,0.0724,0.5210,0.2096
4.0640,0.0701,0.5420,0.2083
4.1271,0.0715,0.5290,0.2091
4.1891,0.0679,0.5630,0.2070
4.2524,0.0701,0.5420,0.2083
4.3150,0.0661,0.5800,0.2086
4.3765,0.0679,0.5630,0.2096
4.4390,0.0700,0.5680,0.2093
4.5018,0.0705,0.5630,0.2096
4.5641,0.0682,0.5840,0.2083
4.6265,0.0682,0.5840,0.2083
4.6889,0.0665,0.5760,0.2088
4.7516,0.0656,0.5840,0.2083
4.8141,0.0669,0.5720,0.2064
4.8773,0.0643,0.5720,0.2038
4.9393,0.0635,0.5800,0.2007
5.0017,0.0610,0.6040,0.1993
5.0643,0.0610,0.6040,0.1993
5.1270,0.0558,0.6040,0.1968
5.1890,0.0533,0.6040,0.1942
5.2515,0.0462,0.6240,0.1906
5.3153,0.0433,0.6280,0.1878
5.3765,0.0408,0.6280,0.1853
5.4395,0.0401,0.6350,0.1850
5.5017,0.0405,0.6310,0.1826
5.5638,0.0394,0.6430,0.1770
5.6274,0.0408,0.6280,0.1752
5.6891,0.0377,0.6610,0.1713
5.7518,0.0394,0.6430,0.1720
5.8141,0.0398,0.6390,0.1722
5.8767,0.0355,0.6580,0.1714
5.9390,0.0352,0.6610,0.1713
6.0024,0.0365,0.6470,0.1694
6.0639,0.0340,0.6470,0.1694
6.1265,0.0344,0.6430,0.1695
6.1891,0.0355,0.6310,0.1700
6.2550,0.0351,0.6350,0.1724
6.3143,0.0340,0.6470,0.1719
6.3765,0.0344,0.6430,0.1720
6.4391,0.0344,0.6430,0.1720
6.5024,0.0322,0.6390,0.1722
6.5664,0.0319,0.6430,0.1720
6.6272,0.0297,0.6390,0.1722
6.6890,0.0294,0.6430,0.1720
6.7522,0.0263,0.6500,0.1717
6.8141,0.0238,0.6500,0.1717
6.8766,0.0216,0.6470,0.1719
6.9391,0.0185,0.6540,0.1716
7.0033,0.0180,0.6610,0.1713
7.0642,0.0176,0.6650,0.1711
7.1265,0.0157,0.6580,0.1714
7.1889,0.0164,0.6500,0.1717
7.2544,0.0164,0.6500,0.1717
7.3140,0.0155,0.6610,0.1738
7.3819,0.0100,0.6690,0.1709
7.4391,0.0108,0.6580,0.1714
7.5015,0.0097,0.6720,0.1708
7.5641,0.0078,0.6650,0.1711
7.6290,0.0086,0.6540,0.1741
7.6890,0.0056,0.6610,0.1738
7.7516,0.0048,0.6720,0.1733
7.8140,0.0064,0.6500,0.1742
7.8766,0.0053,0.6650,0.1736
7.9397,0.0058,0.6580,0.1739
8.0016,0.0050,0.6690,0.1734
