ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,hand_base_x,hand_base_y,hand_base_z,target_cmd_x,target_cmd_y,target_cmd_z,hand_vel_x,hand_vel_y,hand_vel_z,hand_speed,ee_vel_x,ee_vel_y,ee_vel_z,ee_speed,j1_pos,j2_pos,j3_pos,j4_pos,j5_pos,j6_pos,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff,rula_upper_arm,rula_lower_arm,rula_wrist,rula_twist,rula_total,rula_alpha_s,rula_alpha_c,rula_beta_s,rula_beta_t,rula_gamma_s,adapt_w,adapt_sr,adapt_se
1786593084066480362,2026-08-13T10:51:24.066500,ergonomics,0.214422,0.032000,0.099998,True,0.134422,0.112000,0.127198,0.080000,0.080000,0.027200,4.90,20,-0.161992,0.308949,0.388244,-0.155276,0.374556,0.393253,-0.007572,1.066113,0.316526,0.622047,2.702188,1.047629,2.964168,-0.000000,-0.000004,0.000012,0.000013,1.570768,0.124243,-1.002811,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003640,-0.179060,0.085822,-0.019200,0.024544,-0.009696,1.0000,2.0000,1.0000,0.0000,2.0000,12.4444,16.9037,48.1224,-4.7931,12.8873,0.741359,0.862081,0.762905
1786593084099137003,2026-08-13T10:51:24.099158,ergonomics,0.215077,0.024000,0.103524,True,0.134553,0.110400,0.129073,0.080524,0.086400,0.025550,4.64,20,-0.149567,0.357329,0.386010,-0.155931,0.381277,0.396779,-0.075276,0.438556,0.420453,-0.019738,0.202491,0.106233,0.229516,0.004238,0.016503,-0.000762,0.017056,1.570768,0.124243,-1.002811,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003640,-0.179060,0.085822,-0.019200,0.024544,-0.009696,1.0000,2.0000,1.0000,0.0000,2.0000,13.0473,17.2344,47.4694,-3.3327,13.8149,0.737167,0.788641,0.818690
1786593084129624661,2026-08-13T10:51:24.129645,ergonomics,0.214422,0.032000,0.107264,True,0.137197,0.110720,0.132742,0.077225,0.078720,0.025478,4.86,20,-0.149567,0.357329,0.386010,-0.155276,0.389020,0.400519,-0.075407,0.463196,0.422328,0.021578,0.255094,0.123208,0.284111,0.004238,0.016503,-0.000762,0.017056,1.570768,0.124243,-1.002811,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003640,-0.179060,0.085822,-0.019200,0.024544,-0.009696,1.0000,2.0000,1.0000,0.0000,2.0000,13.6474,17.5879,47.2161,-4.1665,13.8077,0.737167,0.788641,0.818690
1786593084165022439,2026-08-13T10:51:24.165044,ergonomics,0.211884,0.063000,0.111210,True,0.136135,0.117176,0.136189,0.075749,0.054176,0.024979,4.76,20,-0.132528,0.383788,0.395537,-0.152738,0.390569,0.404465,-0.078051,0.468380,0.425997,0.072526,0.044252,0.112758,0.141184,0.258407,0.401259,0.144484,0.498657,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.176680,0.084079,-0.019328,0.023392,-0.010976,1.0000,2.0000,1.0000,0.0000,2.0000,14.0645,18.0053,47.1879,-5.1112,14.4771,0.727578,0.728105,0.809244
1786593084198011956,2026-08-13T10:51:24.198034,ergonomics,0.212539,0.055000,0.114724,True,0.141787,0.120741,0.140669,0.070752,0.065741,0.025945,4.73,20,-0.132528,0.383788,0.395537,-0.154523,0.393279,0.400599,-0.076989,0.469417,0.429444,-0.053696,0.081513,-0.116302,0.151835,0.258407,0.401259,0.144484,0.498657,1.570768,0.124243,-1.002811,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.174720,0.083415,-0.019328,0.023392,-0.012096,1.0000,2.0000,1.0000,0.0000,2.0000,14.3076,18.3782,47.8993,-6.3790,14.3662,0.727578,0.728105,0.809244
1786593084231532229,2026-08-13T10:51:24.231552,ergonomics,0.212539,0.055000,0.118319,True,0.140728,0.123593,0.143485,0.071811,0.068593,0.025166,4.94,20,-0.115503,0.410797,0.405125,-0.154335,0.396488,0.402428,-0.077673,0.470811,0.426429,0.005682,0.096802,0.055186,0.111572,0.255849,0.405883,0.144085,0.500960,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.176680,0.085324,-0.019328,0.023392,-0.011520,1.0000,2.0000,1.0000,0.0000,2.0000,14.3718,18.5773,48.1317,-6.8634,14.1941,0.714667,0.680706,0.806874
1786593084273900173,2026-08-13T10:51:24.273918,ergonomics,0.214422,0.032000,0.121795,True,0.148728,0.121274,0.144172,0.065694,0.089274,0.022376,3.93,20,-0.115503,0.410797,0.405125,-0.154469,0.399034,0.404231,-0.078324,0.472228,0.428148,-0.003094,0.058561,0.041468,0.071823,0.255849,0.405883,0.144085,0.500960,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.176680,0.085324,-0.019328,0.023392,-0.011520,1.0000,2.0000,1.0000,0.0000,2.0000,14.4313,18.6549,48.6843,-6.7238,14.1962,0.714667,0.680706,0.806874
1786593084308827736,2026-08-13T10:51:24.308846,ergonomics,0.211229,0.071000,0.125565,True,0.145228,0.127219,0.147449,0.066001,0.056219,0.021884,4.16,20,-0.103056,0.432699,0.413645,-0.154171,0.400972,0.406055,-0.079933,0.473386,0.429473,0.008716,0.056623,0.053284,0.078239,0.186782,0.328658,0.127856,0.399062,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.176680,0.085324,-0.019328,0.023392,-0.011520,1.0000,2.0000,1.0000,0.0000,2.0000,14.9772,19.1923,47.9435,-9.0622,14.4982,0.699863,0.643645,0.808636
1786593084345417795,2026-08-13T10:51:24.345438,ergonomics,0.212539,0.055000,0.125509,True,0.142690,0.128776,0.148325,0.069849,0.073775,0.022816,4.02,20,-0.103056,0.432699,0.413645,-0.154084,0.402471,0.407467,-0.080701,0.474505,0.430877,0.002329,0.040384,0.038051,0.055535,0.186782,0.328658,0.127856,0.399062,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.176680,0.085324,-0.019328,0.023392,-0.011520,1.0000,2.0000,1.0000,0.0000,2.0000,15.5151,19.9812,48.1056,-10.2210,13.3757,0.699863,0.643645,0.808636
1786593084373993930,2026-08-13T10:51:24.374012,ergonomics,0.207106,0.078000,0.129146,True,0.139573,0.134620,0.152162,0.067532,0.056620,0.023015,3.97,20,-0.095524,0.447408,0.419940,-0.153472,0.404939,0.408961,-0.081017,0.475741,0.432066,0.021168,0.085319,0.051615,0.101939,0.113393,0.221462,0.094781,0.266246,1.570768,0.124243,-1.002818,0.000022,-0.385652,-1.879138,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.176680,0.085324,-0.019328,0.023392,-0.011520,2.0000,2.0000,1.0000,0.0000,3.0000,16.1455,20.8159,47.9698,-11.6387,14.2476,0.683466,0.614962,0.795013
