ros_timestamp_ns,wall_time,trajectory_mode,meas_x,meas_y,meas_z,is_tracked,pred_x,pred_y,pred_z,mae_x,mae_y,mae_z,inference_ms,buffer_size,robot_ee_x,robot_ee_y,robot_ee_z,j1_vel,j2_vel,j3_vel,j4_vel,j5_vel,j6_vel,j1_eff,j2_eff,j3_eff,j4_eff,j5_eff,j6_eff
1780999775111731091,2026-06-09T17:09:35.111758,prediction,0.095805,-0.039000,-0.005178,True,0.076507,0.049500,0.023012,0.019298,0.088499,0.028191,5.25,20,-0.163827,0.263007,0.394663,0.000000,0.000000,0.000000,0.000000,0.003051,0.000000,-0.001820,-0.122360,0.064159,-0.032000,0.013760,-0.010592
1780999775149558385,2026-06-09T17:09:35.149573,prediction,0.093769,-0.016000,-0.004222,True,0.076123,0.052400,0.021954,0.017647,0.068400,0.026176,5.52,20,-0.163827,0.263007,0.394663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.122360,0.064159,-0.031680,0.013760,-0.010976
1780999775195708712,2026-06-09T17:09:35.195725,prediction,0.093769,-0.016000,-0.004222,True,0.077778,0.054720,0.023034,0.015991,0.070720,0.027256,4.93,20,-0.161766,0.266423,0.397677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.122360,0.064159,-0.031680,0.013760,-0.010976
1780999775230587770,2026-06-09T17:09:35.230608,prediction,0.094477,-0.024000,-0.004555,True,0.081947,0.054976,0.023518,0.012530,0.078976,0.028073,4.27,20,-0.159998,0.270963,0.400425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.122360,0.064159,-0.031680,0.013760,-0.010976
1780999775264129138,2026-06-09T17:09:35.264149,prediction,0.095097,-0.031000,-0.004846,True,0.083733,0.051563,0.022921,0.011364,0.082563,0.027767,4.94,20,-0.159998,0.270963,0.400425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004620,-0.122360,0.064159,-0.031680,0.013760,-0.010976
1780999775311536548,2026-06-09T17:09:35.311557,prediction,0.095805,-0.039000,-0.005178,True,0.085984,0.048810,0.022412,0.009821,0.087809,0.027590,8.04,20,-0.159375,0.276149,0.401423,0.000000,0.000000,0.000000,0.000000,0.003051,0.000000,-0.002380,-0.122360,0.064491,-0.031680,0.013760,-0.010816
1780999775348236335,2026-06-09T17:09:35.348256,prediction,0.093769,-0.016000,-0.004222,True,0.086985,0.051848,0.021447,0.006784,0.067847,0.025669,7.29,20,-0.159375,0.276149,0.401423,0.000000,0.000000,0.000000,0.000000,0.003051,0.000000,-0.002380,-0.122360,0.064491,-0.031680,0.013760,-0.010816
1780999775381920535,2026-06-09T17:09:35.381940,prediction,0.094477,-0.024000,-0.004555,True,0.088939,0.052678,0.022050,0.005539,0.076678,0.026605,4.27,20,-0.159953,0.281503,0.400580,0.000000,0.000000,0.000000,0.000000,0.003051,0.000000,-0.002380,-0.122360,0.064491,-0.031680,0.013760,-0.010816
1780999775413497542,2026-06-09T17:09:35.413517,prediction,0.092353,-0.000000,-0.003557,True,0.084474,0.058143,0.021924,0.007880,0.058143,0.025481,4.48,20,-0.159953,0.281503,0.400580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001820,-0.122360,0.064491,-0.031680,0.013376,-0.010464
1780999775449692583,2026-06-09T17:09:35.449712,prediction,0.094477,-0.024000,-0.004555,True,0.082180,0.057714,0.022772,0.012298,0.081714,0.027326,4.18,20,-0.161551,0.285661,0.398165,0.009598,0.003051,0.005666,0.000000,0.008289,0.000000,-0.086380,-0.323540,0.302950,-0.010368,-0.071136,0.008128
